"Projektname";"ProjektDevC003709-2018-07-27-Ania-Biofilm"
"Profilname";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x"

"LOT";""

"lfd. WellZeile";"lfd. WellSpalte";"Kavitätsbezeichnung";"lfd. Probenträger-Nr";"ID";"Name";"Vorname";"Geburtsdatum";"Geschlecht";"ModulName";"ModulKonfiguration";"Einzelergebnis-Anzahl";"(1) Ergebnisname";"(1) Ergebnis";"(1) Ereignisanzahl";"(1) Mittelwert";"(1) Standardabweichung";"(1) CV-Wert"
1;1;"A1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;1;"B1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6702084498;0;"n/a";"n/a";"n/a"
3;1;"C1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6538561971;0;"n/a";"n/a";"n/a"
4;1;"D1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6609309620;0;"n/a";"n/a";"n/a"
5;1;"E1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2489325817;0;"n/a";"n/a";"n/a"
6;1;"F1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2409811118;0;"n/a";"n/a";"n/a"
7;1;"G1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2420869440;0;"n/a";"n/a";"n/a"
8;1;"H1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;2;"A2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;2;"B2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";1,0304407980;0;"n/a";"n/a";"n/a"
3;2;"C2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,9867584776;0;"n/a";"n/a";"n/a"
4;2;"D2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";1,1160586063;0;"n/a";"n/a";"n/a"
5;2;"E2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7014397424;0;"n/a";"n/a";"n/a"
6;2;"F2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6531907976;0;"n/a";"n/a";"n/a"
7;2;"G2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5236101847;0;"n/a";"n/a";"n/a"
8;2;"H2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;3;"A3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;3;"B3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6588380351;0;"n/a";"n/a";"n/a"
3;3;"C3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8234646680;0;"n/a";"n/a";"n/a"
4;3;"D3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,9079455120;0;"n/a";"n/a";"n/a"
5;3;"E3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3543440049;0;"n/a";"n/a";"n/a"
6;3;"F3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3213633844;0;"n/a";"n/a";"n/a"
7;3;"G3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2944393418;0;"n/a";"n/a";"n/a"
8;3;"H3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;4;"A4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;4;"B4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6521889398;0;"n/a";"n/a";"n/a"
3;4;"C4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6822766159;0;"n/a";"n/a";"n/a"
4;4;"D4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6799535553;0;"n/a";"n/a";"n/a"
5;4;"E4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4299251838;0;"n/a";"n/a";"n/a"
6;4;"F4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5827306036;0;"n/a";"n/a";"n/a"
7;4;"G4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4394561684;0;"n/a";"n/a";"n/a"
8;4;"H4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;5;"A5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;5;"B5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6735731471;0;"n/a";"n/a";"n/a"
3;5;"C5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8531901939;0;"n/a";"n/a";"n/a"
4;5;"D5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8592931978;0;"n/a";"n/a";"n/a"
5;5;"E5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3367655166;0;"n/a";"n/a";"n/a"
6;5;"F5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3562917828;0;"n/a";"n/a";"n/a"
7;5;"G5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3136066525;0;"n/a";"n/a";"n/a"
8;5;"H5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;6;"A6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;6;"B6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5769267494;0;"n/a";"n/a";"n/a"
3;6;"C6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8820030987;0;"n/a";"n/a";"n/a"
4;6;"D6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8017260310;0;"n/a";"n/a";"n/a"
5;6;"E6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6620250829;0;"n/a";"n/a";"n/a"
6;6;"F6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7818698515;0;"n/a";"n/a";"n/a"
7;6;"G6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7338293179;0;"n/a";"n/a";"n/a"
8;6;"H6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;7;"A7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;7;"B7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,9988179241;0;"n/a";"n/a";"n/a"
3;7;"C7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";1,3043944306;0;"n/a";"n/a";"n/a"
