pathotype;strain;CV1R1;CV1R2;CV1R3;CV1R4;CV2R1;CV2R2;CV2R3;CV3R4;CV3R1;CV3R2;CV3R3;CV3R4;LB_1;LB_2;LB_3;TSB_1;TSB_2;TSB_3;BHI_1;BHI_2;BHI_3;M63+_1;M63+_2;M63+_3
HFEC;5527;0,639;0,546;0,634;0,758;0,536;0,492;0,654;0,476;0,572;0,552;0,590;0,605;0,0192;0,0307;0,0150;0,0120;0,0280;0,0135;0,0203;0,0224;0,0315;0,0212;0,0712;0,0569
HFEC;5528;0,184;0,255;0,243;0,329;0,235;0,270;0,279;0,309;0,174;0,207;0,207;0,318;0,0080;0,0168;0,0094;0,0087;0,0291;0,0318;0,0131;0,0783;0,0231;0,0160;0,1241;0,0166
HFEC;5529;0,447;0,500;0,474;0,416;0,162;0,212;0,272;0,186;0,333;0,359;0,347;0,290;0,0178;0,0265;0,0189;0,0148;0,0221;0,0085;0,0209;0,0289;0,0379;0,0406;0,0966;0,1916
HFEC;5531;0,398;0,512;0,380;0,527;0,122;0,173;0,236;0,177;0,284;0,180;0,284;0,178;0,0203;0,0668;0,0313;0,0140;0,0302;0,0480;0,0488;0,0476;0,0476;0,0093;0,0181;0,0084
HFEC;5532;0,875;1,042;1,304;1,446;0,897;0,796;0,923;0,918;0,785;0,847;0,820;1,187;0,0919;0,0519;0,1426;0,1094;0,0172;0,0960;0,1783;0,1611;0,3097;0,0299;0,0677;0,0153
HFEC;5535;0,238;0,346;0,363;0,427;0,497;0,735;0,627;0,631;0,226;0,293;0,220;0,310;0,0055;0,0460;0,0351;0,0209;0,0858;0,0394;0,0325;0,1200;0,0640;0,0138;0,0108;0,0148
HFEC;5536;0,523;0,494;0,494;0,446;0,713;0,487;0,503;0,447;0,473;0,501;0,583;0,625;0,0135;0,0521;0,0361;0,0208;0,0286;0,0888;0,0281;0,0550;0,0925;0,0103;0,0809;0,0659
HFEC;5537;0,341;0,376;0,518;0,458;0,270;0,338;0,306;0,261;0,235;0,229;0,224;0,301;0,0167;0,0354;0,0420;0,0214;0,0333;0,1124;0,0328;0,0443;0,0747;0,0309;0,1071;0,0503
HFEC;5538;0,316;0,471;0,471;0,484;0,854;0,841;0,714;0,757;0,526;0,307;0,205;0,273;0,0201;0,1028;0,0207;0,0283;0,0269;0,0229;0,0310;0,0974;0,0424;0,0080;0,0082;0,0083
HFEC;5539;0,643;0,772;0,782;0,734;0,714;0,770;0,652;0,654;0,413;0,447;0,405;0,374;0,0202;0,0604;0,0513;0,0457;0,0959;0,0415;0,0287;0,0584;0,0400;0,2080;0,0414;0,0950
HFEC;5540;0,325;0,336;0,501;0,372;0,209;0,200;0,211;0,208;0,244;0,196;0,173;0,199;0,0162;0,0466;0,0166;0,0212;0,0351;0,0238;0,0247;0,0571;0,0358;0,0111;0,0146;0,0146
HFEC;5541;1,698;1,496;1,600;1,602;1,389;2,410;2,725;1,721;1,947;1,521;1,470;1,358;0,0425;0,0711;0,0501;0,0463;0,0598;0,0553;0,0475;0,0607;0,0811;0,0135;0,0131;0,0275
HFEC;5542;0,266;0,324;0,462;0,536;0,222;0,170;0,333;0,384;0,207;0,493;0,462;0,545;0,0395;0,0715;0,0267;0,0288;0,1153;0,0317;0,0392;0,0642;0,0336;0,0308;0,0270;0,0397
HFEC;5543;0,206;0,477;0,444;0,320;0,220;0,246;0,281;0,238;0,215;0,287;0,247;0,299;0,0194;0,0342;0,0193;0,0131;0,0229;0,0303;0,0434;0,0647;0,0347;0,0098;0,0221;0,0202
HFEC;5544;0,137;0,192;0,203;0,298;0,120;0,193;0,197;0,194;0,173;0,285;0,221;0,290;0,0286;0,0223;0,0174;0,0407;0,0135;0,0113;0,0413;0,0313;0,0201;0,0089;0,0094;0,0081
HFEC;5545;0,191;0,260;0,270;0,336;0,163;0,163;0,218;0,184;0,148;0,227;0,168;0,225;0,0468;0,0472;0,0446;0,0319;0,0359;0,0837;0,2129;0,0865;0,0964;0,0479;0,1207;0,0295
HFEC;5547;0,195;0,206;0,257;0,313;0,162;0,157;0,164;0,176;0,206;0,282;0,282;0,245;0,0426;0,0253;0,0407;0,0207;0,0214;0,0285;0,0444;0,0190;0,0259;0,0636;0,0415;0,0381
HFEC;5548;0,541;0,550;0,645;0,783;0,669;0,510;0,562;0,874;0,676;1,002;0,839;0,850;0,0259;0,1089;0,0417;0,0148;0,0266;0,0233;0,0538;0,0443;0,0339;0,1298;0,0685;0,0140
HFEC;5549;0,500;0,269;0,318;0,362;0,216;0,249;0,171;0,188;0,424;0,269;0,266;0,311;0,0473;0,0314;0,0352;0,0222;0,0108;0,0378;0,0568;0,0457;0,0384;0,0153;0,0445;0,0132
HFEC;5551;2,116;1,634;2,168;2,043;1,330;1,378;2,100;1,406;1,795;1,841;1,797;1,788;0,1337;0,0859;0,0985;0,1378;0,0874;0,1073;0,1418;0,0751;0,1201;0,1075;0,0564;0,0232
HFEC;5553;0,836;0,455;0,676;0,893;0,381;0,342;0,411;0,469;0,665;0,908;0,954;1,019;0,0426;0,0729;0,0220;0,0402;0,0581;0,0582;0,0688;0,0687;0,0347;0,1664;0,0671;0,0287
HFEC;5554;0,219;0,184;0,180;0,241;0,160;0,177;0,137;0,152;0,151;0,224;0,222;0,177;0,0335;0,0476;0,0281;0,0450;0,0575;0,0677;0,0443;0,0696;0,0671;0,0090;0,0187;0,0184
HFEC;5555;0,300;0,233;0,207;0,238;0,150;0,174;0,166;0,171;0,194;0,228;0,247;0,167;0,0197;0,0690;0,0210;0,0471;0,0564;0,0429;0,0357;0,0890;0,0445;0,0103;0,0157;0,0176
HFEC;5556;0,390;0,350;0,283;0,329;0,235;0,315;0,154;0,190;0,242;0,299;0,244;0,297;0,0232;0,0877;0,0157;0,0303;0,0430;0,0151;0,0367;0,0981;0,0290;0,1391;0,1483;0,0659
UPEC;5228;0,346;0,340;0,350;0,517;0,143;0,137;0,207;0,300;0,173;0,261;0,260;0,216;0,0330;0,0321;0,0172;0,0297;0,0339;0,0131;0,0341;0,0327;0,0288;0,0170;0,1651;0,0313
UPEC;5229;0,427;0,469;0,490;0,488;0,263;0,349;0,354;0,241;0,252;0,381;0,311;0,389;0,0171;0,0194;0,0060;0,0273;0,0257;0,0118;0,0436;0,0471;0,0101;-0,0012;0,0080;0,0035
UPEC;5231;0,281;0,252;0,216;0,288;0,154;0,156;0,217;0,156;0,131;0,170;0,163;0,220;0,0286;0,0234;0,0102;0,0379;0,0212;0,0118;0,0342;0,0426;0,0118;0,0322;0,3505;0,0530
UPEC;5232;0,457;0,555;0,389;0,278;0,213;0,111;0,229;0,192;0,282;0,252;0,228;0,275;0,0400;0,0215;0,0153;0,0266;0,0209;0,0118;0,0352;0,0276;0,0247;-0,0026;0,0126;0,0040
UPEC;5233;0,423;0,408;0,466;0,384;0,202;0,209;0,376;0,264;0,217;0,223;0,201;0,226;0,0943;0,0214;0,0205;0,0578;0,0150;0,0197;0,1456;0,0251;0,0292;0,1740;0,1002;0,0476
UPEC;5235;1,003;0,987;1,101;0,753;0,472;0,518;0,777;0,511;0,664;0,715;0,716;1,009;0,0833;0,0227;0,0228;0,0753;0,0236;0,0289;0,1404;0,0831;0,0573;0,0192;0,0241;0,0202
UPEC;5237;0,513;0,481;0,495;0,352;0,260;0,143;0,213;0,176;0,142;0,131;0,186;0,275;0,0579;0,0269;0,0115;0,0308;0,0266;0,0175;0,0923;0,0529;0,0341;0,0170;0,0205;0,0073
UPEC;5238;0,351;0,401;0,380;0,505;0,207;0,238;0,203;0,245;0,180;0,129;0,129;0,168;0,0540;0,0276;0,0093;0,0889;0,0347;0,0088;0,0683;0,0329;0,0123;0,0307;0,0509;0,0474
UPEC;5239;0,706;0,674;0,575;0,671;1,050;1,102;1,036;0,935;0,894;0,973;0,613;0,863;0,1013;0,0565;0,0207;0,1078;0,0403;0,0323;0,1208;0,0505;0,0315;0,0150;0,0165;0,0123
UPEC;5240;0,356;0,342;0,265;0,289;0,155;0,170;0,275;0,172;0,194;0,150;0,175;0,196;0,0584;0,0216;0,0202;0,0492;0,0257;0,0112;0,0919;0,0209;0,0187;0,1679;0,0855;0,0146
UPEC;5241;0,672;0,688;0,715;0,591;1,141;1,234;1,483;1,118;0,704;0,822;0,685;0,679;0,0770;0,0694;0,0260;0,0791;0,0703;0,0364;0,0788;0,0877;0,0310;0,0325;0,0133;0,0421
UPEC;5242;1,688;2,086;1,854;1,908;1,656;1,601;1,840;1,250;1,050;1,276;1,158;1,048;0,0934;0,0973;0,0263;0,2021;0,0988;0,0413;0,2743;0,0680;0,0444;0,0442;0,0446;0,0128
UPEC;5243;0,459;0,510;0,518;0,497;0,491;0,450;0,566;0,632;0,831;0,948;0,632;0,659;0,0544;0,0471;0,0385;0,1123;0,0575;0,0386;0,0464;0,0363;0,0373;0,2054;0,1594;0,0911
UPEC;5245;1,589;1,879;1,784;1,776;2,036;2,249;2,233;2,311;2,949;2,682;2,212;2,312;0,1095;0,0987;0,0578;0,2276;0,1085;0,0184;0,0763;0,0443;0,0158;0,0276;0,0127;0,0144
UPEC;5246;0,438;0,472;0,499;0,553;0,373;0,394;0,513;0,497;0,351;0,506;0,376;0,435;0,1088;0,0203;0,0253;0,1074;0,0230;0,0191;0,1210;0,0441;0,0431;0,0741;0,0160;0,0102
UPEC;5247;0,413;0,334;0,416;0,372;0,614;0,613;0,674;0,599;0,337;0,280;0,423;0,344;0,1069;0,0470;0,0331;0,1414;0,0605;0,0641;0,2729;0,0830;0,0758;0,0091;0,0091;0,0088
UPEC;5248;0,343;0,490;0,446;0,413;0,199;0,347;0,318;0,396;0,305;0,274;0,320;0,349;0,0712;0,0180;0,0233;0,1244;0,0248;0,0134;0,1477;0,0421;0,0296;0,0150;0,0107;0,0078
